student_id,assignment_1,assignment_2,assignment_3,attendance,study_hours,past_gpa,final_score,pass_fail,grade
1,72.5,82.0,81.9,64.2,13.1,5.7,76.3,1,B+
2,62.9,60.8,70.0,77.7,14.6,6.95,64.3,1,B
3,74.7,77.5,74.6,66.8,13.3,7.03,65.0,1,B
4,87.8,86.1,82.3,70.9,19.7,7.71,77.5,1,B+
5,61.5,60.0,58.1,100.0,6.3,4.95,59.6,1,C
6,61.5,61.0,56.3,95.1,7.9,7.89,53.8,1,C
7,88.7,92.5,94.2,55.5,7.4,2.94,77.6,1,B+
8,76.5,74.7,85.4,87.4,17.0,6.06,80.2,1,A
9,58.0,70.0,72.9,87.2,17.4,6.27,74.6,1,B+
10,73.1,67.9,67.4,57.8,14.7,7.95,64.6,1,B
11,58.0,58.5,57.7,87.3,19.1,7.03,64.4,1,B
12,58.0,56.5,48.1,98.1,4.9,4.89,46.2,1,D
13,68.6,82.2,88.5,58.2,22.0,5.52,78.3,1,B+
14,36.3,39.9,40.4,61.2,21.1,7.3,39.0,0,F
15,39.1,49.4,49.3,90.3,16.4,6.88,52.6,1,C
16,56.6,46.7,66.9,79.1,22.7,6.13,57.9,1,C
17,49.8,53.9,56.7,83.3,2.1,6.28,61.2,1,B
18,69.7,78.8,75.3,80.1,8.9,8.04,68.3,1,B
19,51.4,54.1,52.5,80.9,7.6,6.22,57.2,1,C
20,43.8,54.3,62.2,55.1,16.3,6.87,52.4,1,C
21,87.0,84.9,86.6,90.7,5.7,10.0,82.8,1,A
22,61.6,74.9,67.3,92.5,16.5,4.86,66.7,1,B
23,66.0,86.4,92.9,71.6,20.2,4.22,73.0,1,B+
24,43.6,42.7,39.7,74.3,16.2,8.18,46.6,1,D
25,56.8,55.2,67.4,52.0,13.7,5.98,57.5,1,C
26,66.7,80.3,87.8,82.7,6.1,6.52,76.4,1,B+
27,47.7,62.3,60.6,83.6,6.9,5.83,58.1,1,C
28,70.6,68.4,77.1,74.1,19.5,6.61,74.5,1,B+
29,56.0,54.6,56.0,91.9,16.7,9.4,64.6,1,B
30,60.6,60.3,66.4,70.0,11.8,8.2,57.2,1,C
31,56.0,47.2,51.1,83.5,9.5,8.29,58.9,1,C
32,92.8,87.5,83.4,59.7,0.0,4.88,72.6,1,B+
33,64.8,58.8,55.9,74.6,5.6,5.27,61.3,1,B
34,49.1,45.0,52.2,72.4,23.5,2.74,53.2,1,C
35,77.3,79.0,78.0,78.4,4.3,5.79,64.1,1,B
36,46.7,50.6,49.2,69.5,13.1,8.44,52.0,1,C
37,68.1,82.5,77.8,73.0,18.0,7.78,71.6,1,B+
38,35.6,29.6,33.1,87.4,4.5,6.67,35.0,0,F
39,45.1,55.0,68.4,68.4,13.1,6.97,63.9,1,B
40,68.0,68.3,62.9,50.9,17.6,5.97,59.5,1,C
41,76.1,77.7,78.8,100.0,12.1,7.31,72.9,1,B+
42,67.6,75.0,84.5,95.7,29.2,8.15,77.9,1,B+
43,63.3,56.3,56.8,55.6,2.0,4.58,58.4,1,C
44,60.5,65.6,69.3,85.3,18.4,7.45,65.7,1,B
